# channel,epoch_s,h2s
h2s,1700000432.000,16.42400
h2s,1700000432.500,17.32082
h2s,1700000433.000,15.96498
h2s,1700000433.500,22.16189
h2s,1700000434.000,22.64835
h2s,1700000434.500,27.73749
h2s,1700000435.000,28.36678
h2s,1700000435.500,30.78894
h2s,1700000436.000,35.12795
h2s,1700000436.500,36.60133
h2s,1700000437.000,37.90513
h2s,1700000437.500,43.85696
h2s,1700000438.000,44.30388
h2s,1700000438.500,44.32017
h2s,1700000439.000,46.69677
h2s,1700000439.500,51.24820
h2s,1700000440.000,52.23543
h2s,1700000440.500,51.65319
h2s,1700000441.000,57.63972
h2s,1700000441.500,60.19058
h2s,1700000442.000,61.71854
h2s,1700000442.500,63.95854
h2s,1700000443.000,66.35146
h2s,1700000443.500,66.82239
h2s,1700000444.000,64.99098
h2s,1700000444.500,64.62812
h2s,1700000445.000,61.90171
h2s,1700000445.500,65.87391
h2s,1700000446.000,66.95409
h2s,1700000446.500,65.83840
h2s,1700000447.000,61.58400
h2s,1700000447.500,64.17422
h2s,1700000448.000,65.20951
h2s,1700000448.500,60.83141
h2s,1700000449.000,61.98272
h2s,1700000449.500,141.09890
h2s,1700000450.000,60.88624
h2s,1700000450.500,60.33605
h2s,1700000451.000,54.27827
h2s,1700000451.500,53.40459
h2s,1700000452.000,51.36858
h2s,1700000452.500,50.05522
h2s,1700000453.000,47.58451
h2s,1700000453.500,47.06646
h2s,1700000454.000,37.23203
h2s,1700000454.500,40.39749
h2s,1700000455.000,38.20813
h2s,1700000455.500,34.45512
h2s,1700000456.000,28.12442
h2s,1700000456.500,30.30482
h2s,1700000457.000,26.83910
h2s,1700000457.500,29.51869
h2s,1700000458.000,24.89373
h2s,1700000458.500,20.61754
h2s,1700000459.000,16.25933
h2s,1700000459.500,19.79710
h2s,1700000460.000,18.35757
h2s,1700000460.500,14.98307
h2s,1700000461.000,15.17191
h2s,1700000461.500,11.91813
h2s,1700000462.000,13.49801
h2s,1700000462.500,12.19449
h2s,1700000463.000,5.87053
h2s,1700000463.500,5.38750
h2s,1700000464.000,11.35620
h2s,1700000464.500,8.35570
h2s,1700000465.000,3.24148
h2s,1700000465.500,1.97290
h2s,1700000466.000,4.94417
h2s,1700000466.500,1.72160
h2s,1700000467.000,2.90816
h2s,1700000467.500,3.03531
h2s,1700000468.000,2.58561
h2s,1700000468.500,4.70003
h2s,1700000469.000,5.83656
h2s,1700000469.500,0.96493
h2s,1700000470.000,-0.55095
h2s,1700000470.500,2.30405
h2s,1700000471.000,4.63049
h2s,1700000471.500,0.42451
h2s,1700000472.000,2.81461
h2s,1700000472.500,-0.66033
h2s,1700000473.000,0.97144
h2s,1700000473.500,-1.46708
h2s,1700000474.000,0.81755
h2s,1700000474.500,0.51169
h2s,1700000475.000,1.91781
h2s,1700000475.500,4.22171
h2s,1700000476.000,-0.14218
h2s,1700000476.500,-3.38875
h2s,1700000477.000,0.18589
h2s,1700000477.500,1.17174
h2s,1700000478.000,0.96293
h2s,1700000478.500,0.23284
h2s,1700000479.000,3.51376
h2s,1700000479.500,0.80315
h2s,1700000480.000,0.32342
h2s,1700000480.500,-1.01732
h2s,1700000481.000,-2.94961
h2s,1700000481.500,1.20871
h2s,1700000482.000,1.04829
h2s,1700000482.500,-1.55317
h2s,1700000483.000,0.48569
h2s,1700000483.500,0.29665
h2s,1700000484.000,-0.65370
h2s,1700000484.500,-0.97926
h2s,1700000485.000,1.43075
h2s,1700000485.500,0.18343
h2s,1700000486.000,-0.53118
h2s,1700000486.500,-1.05543
h2s,1700000487.000,0.42645
h2s,1700000487.500,2.55534
h2s,1700000488.000,1.14108
h2s,1700000488.500,0.27650
h2s,1700000489.000,1.39218
h2s,1700000489.500,3.52996
h2s,1700000490.000,1.80952
h2s,1700000490.500,1.37811
h2s,1700000491.000,2.16524
h2s,1700000491.500,0.60405
h2s,1700000492.000,1.32146
h2s,1700000492.500,0.00994
h2s,1700000493.000,-2.07757
h2s,1700000493.500,1.74597
h2s,1700000494.000,1.79134
h2s,1700000494.500,0.56103
h2s,1700000495.000,3.24720
h2s,1700000495.500,-0.22810
h2s,1700000496.000,-2.28785
h2s,1700000496.500,-0.09944
h2s,1700000497.000,-1.74736
h2s,1700000497.500,2.04996
h2s,1700000498.000,-0.09150
h2s,1700000498.500,3.41999
h2s,1700000499.000,3.41510
h2s,1700000499.500,-0.32683
h2s,1700000500.000,-0.05899
h2s,1700000500.500,2.65847
h2s,1700000501.000,3.57968
h2s,1700000501.500,-2.37699
h2s,1700000502.000,2.23749
h2s,1700000502.500,-2.69767
h2s,1700000503.000,0.62114
h2s,1700000503.500,3.92331
h2s,1700000504.000,7.77039
h2s,1700000504.500,1.28499
h2s,1700000505.000,-0.72296
h2s,1700000505.500,0.74972
h2s,1700000506.000,1.91104
h2s,1700000506.500,0.43736
h2s,1700000507.000,-0.07609
h2s,1700000507.500,0.91238
h2s,1700000508.000,2.54664
h2s,1700000508.500,1.40303
h2s,1700000509.000,-0.03792
h2s,1700000509.500,0.36580
h2s,1700000510.000,0.85620
h2s,1700000510.500,-0.33944
h2s,1700000511.000,0.21831
h2s,1700000511.500,2.89095
h2s,1700000512.000,1.11219
h2s,1700000512.500,-1.96670
h2s,1700000513.000,3.55612
h2s,1700000513.500,2.30434
h2s,1700000514.000,-1.33174
h2s,1700000514.500,0.66655
h2s,1700000515.000,-0.22473
h2s,1700000515.500,2.67503
h2s,1700000516.000,0.53946
h2s,1700000516.500,1.09874
h2s,1700000517.000,0.82760
h2s,1700000517.500,-1.79222
h2s,1700000518.000,3.94140
h2s,1700000518.500,2.41848
h2s,1700000519.000,-0.43693
h2s,1700000519.500,1.40649
h2s,1700000520.000,2.93696
h2s,1700000520.500,1.06728
h2s,1700000521.000,4.03757
h2s,1700000521.500,6.72929
h2s,1700000522.000,0.61219
h2s,1700000522.500,-0.32844
h2s,1700000523.000,-1.16863
h2s,1700000523.500,-3.64201
h2s,1700000524.000,3.25778
h2s,1700000524.500,0.03224
h2s,1700000525.000,2.46904
h2s,1700000525.500,2.85169
h2s,1700000526.000,-1.48139
h2s,1700000526.500,-1.19803
h2s,1700000527.000,4.13726
h2s,1700000527.500,0.49323
h2s,1700000528.000,-0.70061
h2s,1700000528.500,-1.48268
h2s,1700000529.000,0.31348
h2s,1700000529.500,3.60188
h2s,1700000530.000,1.94758
h2s,1700000530.500,0.93170
h2s,1700000531.000,3.73749
h2s,1700000531.500,3.34502
h2s,1700000532.000,1.21543
h2s,1700000532.500,6.09378
h2s,1700000533.000,0.04163
h2s,1700000533.500,2.72801
h2s,1700000534.000,-0.25807
h2s,1700000534.500,2.33004
h2s,1700000535.000,0.02440
h2s,1700000535.500,1.44110
h2s,1700000536.000,5.29617
h2s,1700000536.500,2.41743
h2s,1700000537.000,1.46550
h2s,1700000537.500,-1.03925
h2s,1700000538.000,0.88516
h2s,1700000538.500,-1.50857
h2s,1700000539.000,2.28029
h2s,1700000539.500,2.22915
h2s,1700000540.000,0.14531
h2s,1700000540.500,3.83267
h2s,1700000541.000,3.55265
h2s,1700000541.500,0.80766
h2s,1700000542.000,1.64120
h2s,1700000542.500,-0.66456
h2s,1700000543.000,-0.02940
h2s,1700000543.500,-1.63796
h2s,1700000544.000,-0.43492
h2s,1700000544.500,0.31735
h2s,1700000545.000,-2.78942
h2s,1700000545.500,1.69106
h2s,1700000546.000,2.58888
h2s,1700000546.500,0.53723
h2s,1700000547.000,-4.83155
h2s,1700000547.500,0.06847
h2s,1700000548.000,-2.19892
h2s,1700000548.500,-0.61584
h2s,1700000549.000,3.52524
h2s,1700000549.500,-4.22685
h2s,1700000550.000,-0.96680
h2s,1700000550.500,2.35238
h2s,1700000551.000,-0.67939
h2s,1700000551.500,-0.79683
h2s,1700000552.000,4.86525
h2s,1700000552.500,1.60298
h2s,1700000553.000,2.76647
h2s,1700000553.500,1.94535
h2s,1700000554.000,1.34465
h2s,1700000554.500,3.62227
h2s,1700000555.000,4.98625
h2s,1700000555.500,-2.10110
h2s,1700000556.000,1.29541
h2s,1700000556.500,1.39015
h2s,1700000557.000,0.73957
h2s,1700000557.500,3.69355
h2s,1700000558.000,2.39086
h2s,1700000558.500,5.88664
h2s,1700000559.000,4.40833
h2s,1700000559.500,5.12328
h2s,1700000560.000,0.19599
h2s,1700000560.500,1.19728
h2s,1700000561.000,1.59210
h2s,1700000561.500,5.93073
h2s,1700000562.000,1.61009
h2s,1700000562.500,1.94327
h2s,1700000563.000,1.86552
h2s,1700000563.500,9.91726
h2s,1700000564.000,4.44290
h2s,1700000564.500,6.11559
h2s,1700000565.000,3.11427
h2s,1700000565.500,7.66366
h2s,1700000566.000,2.55595
h2s,1700000566.500,4.51025
h2s,1700000567.000,5.37549
h2s,1700000567.500,7.64894
h2s,1700000568.000,5.99882
h2s,1700000568.500,11.00527
h2s,1700000569.000,9.33207
h2s,1700000569.500,7.30828
h2s,1700000570.000,11.03551
h2s,1700000570.500,8.59474
h2s,1700000571.000,8.52706
h2s,1700000571.500,11.80913
h2s,1700000572.000,5.40178
h2s,1700000572.500,12.04483
h2s,1700000573.000,9.39227
h2s,1700000573.500,9.60577
h2s,1700000574.000,15.13904
h2s,1700000574.500,10.31759
h2s,1700000575.000,13.41701
h2s,1700000575.500,12.15549
h2s,1700000576.000,12.42051
h2s,1700000576.500,91.17602
h2s,1700000577.000,11.05897
h2s,1700000577.500,14.67244
h2s,1700000578.000,13.39453
h2s,1700000578.500,10.41718
h2s,1700000579.000,9.17450
h2s,1700000579.500,9.91512
h2s,1700000580.000,12.83457
h2s,1700000580.500,12.98805
h2s,1700000581.000,11.47331
h2s,1700000581.500,6.83862
h2s,1700000582.000,11.26694
h2s,1700000582.500,12.03484
h2s,1700000583.000,9.42693
h2s,1700000583.500,12.67815
h2s,1700000584.000,5.70476
h2s,1700000584.500,9.33668
h2s,1700000585.000,5.54197
h2s,1700000585.500,9.31248
h2s,1700000586.000,8.03431
h2s,1700000586.500,10.02714
h2s,1700000587.000,7.04459
h2s,1700000587.500,4.86490
h2s,1700000588.000,4.32740
h2s,1700000588.500,4.45638
h2s,1700000589.000,3.59453
h2s,1700000589.500,6.98272
h2s,1700000590.000,6.52664
h2s,1700000590.500,0.68421
h2s,1700000591.000,3.47181
h2s,1700000591.500,3.25396
h2s,1700000592.000,1.31664
h2s,1700000592.500,3.52240
h2s,1700000593.000,5.35058
h2s,1700000593.500,4.01151
h2s,1700000594.000,4.73671
h2s,1700000594.500,0.43549
h2s,1700000595.000,1.78988
h2s,1700000595.500,0.04394
h2s,1700000596.000,1.92570
h2s,1700000596.500,1.98981
h2s,1700000597.000,3.14634
h2s,1700000597.500,3.76029
h2s,1700000598.000,2.42799
h2s,1700000598.500,-0.74427
h2s,1700000599.000,-1.79372
h2s,1700000599.500,1.89300
